Wifi Hotspot Name,Address,Suburb,Latitude,Longitude,Site
QLD_MKA288A,130 Beaudesert Rd,MOOROOKA,-27.531844,153.024199,SUB
QLD_MKA289A,Intersection of Beaudesert and Mayfield Rds,MOOROOKA,-27.53275,153.02489,SUB
QLD_07327200X1,344 Jackson Rd,SUNNYBANK HILLS,-27.596705,153.044791,SUB
QLD_WCC001A,105 Florence St,WYNNUM,-27.444289,153.17214,SUB
QLD_WCC002A,105 Florence St,WYNNUM,-27.444303,153.17214,SUB
QLD_WCC003A,105 Florence St,WYNNUM,-27.444321,153.17222,SUB
QLD_WCC004A,105 Florence St,WYNNUM,-27.444252,153.17232,SUB
QLD_WCC005A,105 Florence St,WYNNUM,-27.444157,153.17246,SUB
QLD_NDA290A,Corner of Station Street & Sandgate Road ,NUNDAH,-27.401952,153.0601,SUB
QLD_NDA291A,1229 Sandgate Road,NUNDAH,-27.402629,153.060417,SUB
QLD_NDA292A,Corner of Buckland Road & Sandgate Road ,NUNDAH,-27.403329,153.060525,SUB
QLD_07326619X2,34 Station St,NUNDAH,-27.401112,153.061297,SUB
QLD_BFT001A,11 Byron St,BULIMBA,-27.443453,153.063745,BFT
QLD_BFT002A,2 Oxford St,BULIMBA,-27.450343,153.052458,BFT
QLD_BFT003A,44 Ferry St,KANGAROO POINT,-27.472425,153.039041,BFT
QLD_BFT004A,45 Eagle St,BRISBANE CITY,-27.468784,153.030924,BFT
QLD_BFT005A,10 Gordon St,HAWTHORNE,-27.461178,153.053706,BFT
QLD_BFT006A,9 Annie St,KANGAROO POINT,-27.465814,153.03403,BFT
QLD_BFT007A,30 Dock St,SOUTH BRISBANE,-27.481987,153.028493,BFT
QLD_BFT008A,3/299 Coronation Dr,MILTON,-27.473792,153.005405,BFT
QLD_BFT009A,31A Park Ave,EAST BRISBANE,-27.477545,153.043163,BFT
QLD_BFT010A,1231A Brunswick St,NEW FARM,-27.471502,153.052376,BFT
QLD_BFT011A,68 Wynnum Rd,NORMAN PARK,-27.474564,153.053686,BFT
QLD_BFT012A,285 MacArthur Ave,HAMILTON,-27.445213,153.084004,BFT
QLD_BFT013A,15B Queens Wharf Rd,BRISBANE CITY,-27.472606,153.022718,BFT
QLD_BFT014A,2 George St,BRISBANE CITY,-27.478369,153.026147,BFT
QLD_BFT015A,555 Coronation Dr,TOOWONG,-27.483466,152.996808,BFT
QLD_BFT016A,7/145 Eagle St,BRISBANE CITY,-27.466821,153.0313,BFT
QLD_BFT017A,172 Oxlade Dr,NEW FARM,-27.474729,153.042168,BFT
QLD_BFT018A,53 Vernon Terrace,TENERIFFIC,-27.451933,153.049229,BFT
QLD_BFT019A,11 Thornton St,KANGAROO POINT,-27.471235,153.034266,BFT
QLD_BFT020A,342 Carmody Rd,ST LUCIA,-27.496836,153.019643,BFT
QLD_CALI001A,"California Lane, 22 McLachlan St",FORTITUDE VALLEY,-27.458636,153.035813,SUB
QLD_SGHL001A,Corner of Fortescue St & Boundary Street,SPRING HILL,-27.460621,153.023422,SUB
QLD_SGHL002A,Corner of Fortescue St & Boundary Street,SPRING HILL,-27.460621,153.023422,SUB
QLD_SGHL003A (QLD_07383201X2),74 Little Edward Street,SPRING HILL,-27.461143,153.024359,SUB
QLD_SGHL004A,Corner of Wharf St & Leichhardt Street,SPRING HILL,-27.461943,153.026385,SUB
QLD_SGHL005A,Little Edward St & Leichhardt Street,SPRING HILL,-27.462616,153.024353,SUB
QLD_SGHL006A,442a Upper Edward St,SPRING HILL,-27.463837,153.024618,SUB
QLD_SGHL007A (QLD_07383202X2),67 Astor Terrace,SPRING HILL,-27.46349,153.026104,SUB
QLD_ENE_GB,Gardens Point Road,BRISBANE CITY,-27.479009,153.028774,CBD
QLD_ENE_KB,11 Monatgue Road,SOUTH BRISBANE,-27.46981,153.017024,SUB
QLD_ENE_PSP,113 Caxton St,PADDINGTON,-27.463068,153.010877,SUB
QLD_ENE_SF,Flinders Parade,SANDGATE,-27.314001,153.069433,SUB
QLD_ENE-BRSP,523 Telegraph Rd,FITZGIBBON,-27.331854,153.043185,SUB
